Sequence                LR      SV      SC      FM      CS      IO      DB      MB     DEF     OCC      HO      EA      OV      AC      BC
bear                 False   False   False   False   False   False   False   False    True   False   False   False   False   False   False
car-shadow            True   False   False   False   False   False   False   False   False   False   False    True   False    True    True
elephant             False   False   False   False    True   False    True   False    True   False   False    True   False   False   False
lucia                False   False   False   False   False   False   False   False    True    True    True   False   False   False   False
rollerblade           True   False   False    True    True   False   False    True    True   False    True   False   False   False   False
blackswan            False   False   False   False   False   False   False   False   False   False   False   False   False   False   False
car-turn             False    True   False   False   False   False   False   False   False   False   False   False   False   False    True
flamingo             False   False    True   False   False    True    True   False    True   False    True   False   False   False   False
mallard-fly           True    True   False    True   False   False    True    True    True   False   False    True    True    True   False
scooter-black        False    True   False   False   False    True   False   False   False   False    True    True   False   False   False
bmx-bumps             True    True    True    True    True    True   False    True   False    True    True    True    True   False   False
cows                 False   False   False   False    True    True   False   False    True    True    True   False   False   False   False
goat                 False   False   False   False    True   False   False   False    True   False   False    True   False   False    True
mallard-water         True   False   False   False   False    True    True   False   False   False   False    True   False   False   False
scooter-gray         False   False    True    True   False    True   False   False   False    True    True    True   False   False    True
bmx-trees             True    True    True    True    True    True   False    True    True    True    True    True   False   False    True
dance-jump           False   False    True   False   False   False    True    True    True    True    True    True   False   False   False
hike                  True   False   False   False   False   False   False   False    True   False    True   False   False   False   False
motocross-bumps      False    True   False    True   False    True   False   False   False   False    True   False    True    True    True
soapbox              False    True   False   False   False    True   False    True    True   False    True   False   False    True   False
boat                 False   False    True   False   False   False    True   False   False   False   False    True   False   False    True
dance-twirl          False   False    True   False    True    True   False    True    True   False    True   False    True   False   False
hockey               False   False    True   False   False    True   False   False    True   False    True   False   False   False   False
motocross-jump       False    True    True    True   False    True   False    True    True   False    True    True    True    True   False
soccerball            True   False   False    True   False   False   False    True   False    True    True   False   False   False   False
breakdance           False   False   False    True   False   False    True    True    True   False    True   False    True    True   False
dog                  False   False   False    True    True   False   False    True    True   False   False    True   False   False   False
horsejump-high       False   False    True   False   False    True   False   False    True    True    True   False   False   False   False
motorbike             True    True    True    True   False    True   False   False   False    True    True    True   False   False   False
stroller             False   False    True    True    True    True   False   False    True   False    True   False   False   False   False
breakdance-flare     False   False   False    True    True   False   False    True    True   False    True   False   False   False   False
dog-agility          False   False   False    True   False   False   False    True    True    True    True    True    True    True   False
horsejump-low        False   False    True   False   False    True   False   False    True    True    True    True   False   False   False
paragliding           True   False    True   False   False    True   False   False   False   False    True   False   False   False   False
surf                 False    True   False    True    True    True    True   False   False   False    True   False    True   False   False
bus                  False   False    True   False   False   False   False   False   False    True    True    True   False   False   False
drift-chicane         True    True   False    True   False   False    True   False   False   False    True    True   False    True   False
kite-surf            False    True    True   False   False    True    True    True   False    True    True    True   False   False   False
paragliding-launch   False   False    True   False   False    True   False   False    True   False    True    True   False   False   False
swing                False   False    True    True   False    True   False   False    True    True    True   False   False   False   False
camel                False   False   False   False    True    True   False   False    True   False   False   False   False   False   False
drift-straight        True    True   False    True    True   False   False    True   False   False    True    True    True    True   False
kite-walk            False   False    True   False   False    True    True   False    True    True    True   False   False   False   False
parkour               True    True   False    True   False   False   False   False    True    True    True   False   False    True   False
tennis               False    True   False    True   False    True   False    True    True   False    True   False   False   False   False
car-roundabout       False   False   False   False   False   False   False   False   False   False   False   False   False   False    True
drift-turn           False    True   False    True   False    True    True   False   False   False    True   False    True    True   False
libby                False   False    True   False   False   False   False    True    True    True    True    True   False   False   False
rhino                False   False   False   False   False   False   False   False    True    True   False   False   False   False    True
train                False   False    True   False   False   False   False   False   False   False    True    True   False   False   False
